,TotalDemand,Price,Date,Time,Tmax,MeanPrice,Year,Quarter
7292,9142.47667,63.94,2000-06-01,00:00:00,16.3,37.857565277141546,2000,2
7340,9131.23333,78.32,2000-06-02,00:00:00,14.7,37.857565277141546,2000,2
7388,9134.82,41.46,2000-06-03,00:00:00,16.1,37.857565277141546,2000,2
7436,8416.30333,35.87,2000-06-04,00:00:00,14.9,37.857565277141546,2000,2
7484,8262.2,33.72,2000-06-05,00:00:00,15.4,37.857565277141546,2000,2
7532,9245.50833,125.43,2000-06-06,00:00:00,15.8,37.857565277141546,2000,2
7580,9183.11167,54.33,2000-06-07,00:00:00,16.4,37.857565277141546,2000,2
7628,9276.89167,66.81,2000-06-08,00:00:00,17.7,37.857565277141546,2000,2
7676,9178.57333,64.47,2000-06-09,00:00:00,18.2,37.857565277141546,2000,2
7724,9164.90167,56.2,2000-06-10,00:00:00,15.4,37.857565277141546,2000,2
7772,8452.48333,48.77,2000-06-11,00:00:00,15.2,37.857565277141546,2000,2
7820,8106.1,37.02,2000-06-12,00:00:00,14.1,37.857565277141546,2000,2
7868,8384.72333,36.99,2000-06-13,00:00:00,14.9,37.857565277141546,2000,2
7916,9068.885,50.12,2000-06-14,00:00:00,16.2,37.857565277141546,2000,2
7964,9186.82,61.74,2000-06-15,00:00:00,19.4,37.857565277141546,2000,2
8012,9207.67333,51.49,2000-06-16,00:00:00,19.2,37.857565277141546,2000,2
8060,9122.20333,39.44,2000-06-17,00:00:00,18.4,37.857565277141546,2000,2
8108,8268.98333,41.76,2000-06-18,00:00:00,17.6,37.857565277141546,2000,2
8156,7844.595,29.57,2000-06-19,00:00:00,18.0,37.857565277141546,2000,2
8204,8585.345,41.26,2000-06-20,00:00:00,18.5,37.857565277141546,2000,2
8252,8616.70833,33.55,2000-06-21,00:00:00,21.7,37.857565277141546,2000,2
8300,8581.795,47.31,2000-06-22,00:00:00,19.7,37.857565277141546,2000,2
8348,8803.455,50.1,2000-06-23,00:00:00,17.1,37.857565277141546,2000,2
